"blind_case_id","display_order","comparison_mode","context","option_a","option_b","choice","reason_codes","review_confidence","optional_note"
"caso-001","1","SHARED_HISTORY","{""behavioral_goal"":""Representar evidencias positivas e negativas compensaveis de modo deterministico."",""explicit_preferences"":[""Lanches"",""Saudavel""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 48"",""meal_window"":""JANTAR"",""profile_label"":""Perfil E350"",""recent_sequence"":[{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Brasileira"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Lanches"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 1, dia 5""}","{""category"":""Doces"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""EVITADA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Lanches"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-002","2","TRAJECTORY_OUTCOME","{""behavioral_goal"":""Priorizar deslocamentos curtos dentro do raio sem apagar preferencia explicita forte."",""explicit_preferences"":[""Brasileira""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 4 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 8BD6"",""virtual_moment"":""semana 6, dia 5""}","{""category"":""Brasileira"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":2,""recent_sequence"":[{""category"":""Mediterranea"",""restaurant_alias"":""Historico A 1""},{""category"":""Brasileira"",""restaurant_alias"":""Historico A 2""},{""category"":""Brasileira"",""restaurant_alias"":""Historico A 3""}],""restaurant_alias"":""Restaurante A""}","{""category"":""Lanches"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""recent_sequence"":[{""category"":""Mediterranea"",""restaurant_alias"":""Historico B 1""},{""category"":""Brasileira"",""restaurant_alias"":""Historico B 2""},{""category"":""Brasileira"",""restaurant_alias"":""Historico B 3""}],""restaurant_alias"":""Restaurante B""}","","","",""
"caso-003","3","TRAJECTORY_OUTCOME","{""behavioral_goal"":""Representar evidencias positivas e negativas compensaveis de modo deterministico."",""explicit_preferences"":[""Lanches"",""Saudavel""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 48"",""meal_window"":""JANTAR"",""profile_label"":""Perfil E350"",""virtual_moment"":""semana 6, dia 5""}","{""category"":""Lanches"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""recent_sequence"":[{""category"":""Asiatica"",""restaurant_alias"":""Historico A 1""},{""category"":""Doces"",""restaurant_alias"":""Historico A 2""},{""category"":""Brasileira"",""restaurant_alias"":""Historico A 3""}],""restaurant_alias"":""Restaurante A""}","{""category"":""Saudavel"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""recent_sequence"":[{""category"":""Asiatica"",""restaurant_alias"":""Historico B 1""},{""category"":""Saudavel"",""restaurant_alias"":""Historico B 2""},{""category"":""Brasileira"",""restaurant_alias"":""Historico B 3""}],""restaurant_alias"":""Restaurante B""}","","","",""
"caso-004","4","SHARED_HISTORY","{""behavioral_goal"":""Manter afinidade recorrente por restaurante sem ultrapassar limites eliminatorios."",""explicit_preferences"":[""Massas""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 003E"",""recent_sequence"":[{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Mediterranea"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 6, dia 1""}","{""category"":""Massas"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":2,""restaurant_alias"":""Restaurante A""}","{""category"":""Doces"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""EVITADA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-005","5","SHARED_HISTORY","{""behavioral_goal"":""Migrar afinidade de Massas para Asiatica ao longo de varias semanas."",""explicit_preferences"":[],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 58"",""meal_window"":""JANTAR"",""profile_label"":""Perfil BCC7"",""recent_sequence"":[{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 1""}],""virtual_moment"":""semana 1, dia 2""}","{""category"":""Vegetariana"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Massas"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 35 a R$ 44"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-006","6","SHARED_HISTORY","{""behavioral_goal"":""Manter afinidade recorrente por restaurante sem ultrapassar limites eliminatorios."",""explicit_preferences"":[""Massas""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 003E"",""recent_sequence"":[{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Mediterranea"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 4, dia 5""}","{""category"":""Massas"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante A""}","{""category"":""Doces"",""distance_band"":""de 2 a 4 km"",""eligible_confirmed"":true,""preference_relation"":""EVITADA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-007","7","SHARED_HISTORY","{""behavioral_goal"":""Penalizar progressivamente repeticoes sem banir uma primeira recorrencia compativel."",""explicit_preferences"":[""Massas"",""Saudavel""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 9 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""JANTAR"",""profile_label"":""Perfil 381A"",""recent_sequence"":[{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Saudavel"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 2, dia 1""}","{""category"":""Mediterranea"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Saudavel"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":1,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-008","8","SHARED_HISTORY","{""behavioral_goal"":""Preservar preferencia declarada diante de pequenas vantagens operacionais concorrentes."",""explicit_preferences"":[""Vegetariana""],""gastronomic_aversions"":[""Carnes""],""maximum_distance"":""ate 9 km"",""meal_budget"":""ate R$ 65"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil CBE5"",""recent_sequence"":[{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Lanches"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 5, dia 5""}","{""category"":""Asiatica"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante A""}","{""category"":""Vegetariana"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 35 a R$ 44"",""product_alias"":""Opcao B"",""recent_category_occurrences"":2,""restaurant_alias"":""Restaurante B""}","","","",""
"caso-009","9","TRAJECTORY_OUTCOME","{""behavioral_goal"":""Preservar preferencia declarada diante de pequenas vantagens operacionais concorrentes."",""explicit_preferences"":[""Vegetariana""],""gastronomic_aversions"":[""Carnes""],""maximum_distance"":""ate 9 km"",""meal_budget"":""ate R$ 65"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil CBE5"",""virtual_moment"":""semana 6, dia 1""}","{""category"":""Doces"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""NEUTRA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":0,""recent_sequence"":[{""category"":""Lanches"",""restaurant_alias"":""Historico A 1""},{""category"":""Vegetariana"",""restaurant_alias"":""Historico A 2""},{""category"":""Asiatica"",""restaurant_alias"":""Historico A 3""}],""restaurant_alias"":""Restaurante A""}","{""category"":""Vegetariana"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 35 a R$ 44"",""product_alias"":""Opcao B"",""recent_category_occurrences"":2,""recent_sequence"":[{""category"":""Lanches"",""restaurant_alias"":""Historico B 1""},{""category"":""Vegetariana"",""restaurant_alias"":""Historico B 2""},{""category"":""Vegetariana"",""restaurant_alias"":""Historico B 3""}],""restaurant_alias"":""Restaurante B""}","","","",""
"caso-010","10","SHARED_HISTORY","{""behavioral_goal"":""Manter afinidade recorrente por restaurante sem ultrapassar limites eliminatorios."",""explicit_preferences"":[""Massas""],""gastronomic_aversions"":[""Doces""],""maximum_distance"":""ate 8 km"",""meal_budget"":""ate R$ 55"",""meal_window"":""ALMOCO"",""profile_label"":""Perfil 003E"",""recent_sequence"":[{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 1""},{""category"":""Vegetariana"",""restaurant_alias"":""Restaurante anterior 2""},{""category"":""Massas"",""restaurant_alias"":""Restaurante anterior 3""}],""virtual_moment"":""semana 6, dia 3""}","{""category"":""Massas"",""distance_band"":""de 1 a 2 km"",""eligible_confirmed"":true,""preference_relation"":""PREFERIDA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao A"",""recent_category_occurrences"":2,""restaurant_alias"":""Restaurante A""}","{""category"":""Doces"",""distance_band"":""menos de 1 km"",""eligible_confirmed"":true,""preference_relation"":""EVITADA"",""price_band"":""de R$ 25 a R$ 34"",""product_alias"":""Opcao B"",""recent_category_occurrences"":0,""restaurant_alias"":""Restaurante B""}","","","",""
